type	subtype	name	evidence	symbol	identifier	count
aminoglycoside	aac(3)-IV	aminoglycoside N-acetyltransferase AAC(3)-IVb	NBR012952	aac(3)-IVb	NA	6
aminoglycoside	aac(3)-VI	aminoglycoside N-acetyltransferase AAC(3)-VIa	NF033612.0	aac(3)-VIa	NA	12
aminoglycoside	aac(3)-VIII	aminoglycoside N-acetyltransferase AAC(3)-VIII	NF033180.1	aac(3)-VIII	NA	23
aminoglycoside	aac(3)-XI	aminoglycoside N-acetyltransferase AAC(3)-XI	NF000482.1	aac(3)-XI	NA	8
aminoglycoside	aac(6')*	aminoglycoside 6'-N-acetyltransferase	NF000021.4	aac(6')	NA	131
aminoglycoside	aac(6')*	aminoglycoside 6'-N-acetyltransferase	NF000225.3	aac(6')	NA	345
aminoglycoside	aac(6')*	aminoglycoside 6'-N-acetyltransferase	NF012165.0	aac(6')	NA	8
aminoglycoside	aac(6')*	aminoglycoside 6'-N-acetyltransferase	NF033075.0	aacA	NA	38
aminoglycoside	aac(6')*	aminoglycoside 6'-N-acetyltransferase	NF033076.0	aac(6')	NA	2
aminoglycoside	aac(6')*	aminoglycoside 6'-N-acetyltransferase	NF043067.1	aac(6')	NA	3016
aminoglycoside	aac(6')*	aminoglycoside 6'-N-acetyltransferase	NG_052139.1	aac(6')	NA	1
aminoglycoside	aac(6')*	aminoglycoside 6'-N-acetyltransferase	NG_052175.1	aac(6')	NA	1
aminoglycoside	aac(6')*	aminoglycoside 6'-N-acetyltransferase	NG_052178.1	aac(6')	NA	1
aminoglycoside	aac(6')*	aminoglycoside 6'-N-acetyltransferase	NG_052187.1	aac(6')	NA	1
aminoglycoside	aac(6')*	aminoglycoside 6'-N-acetyltransferase	NG_052189.1	aacA	NA	1
aminoglycoside	aac(6')*	aminoglycoside 6'-N-acetyltransferase	NG_052190.1	aac(6')	NA	1
aminoglycoside	aac(6')*	aminoglycoside 6'-N-acetyltransferase	NG_052191.1	aac(6')	NA	1
aminoglycoside	aac(6')*	aminoglycoside 6'-N-acetyltransferase	NG_052192.1	aac(6')	NA	1
aminoglycoside	aac(6')*	aminoglycoside 6'-N-acetyltransferase	NG_052193.1	aac(6')	NA	1
aminoglycoside	aac(6')*	aminoglycoside 6'-N-acetyltransferase	NG_052194.1	aac(6')	NA	1
aminoglycoside	aac(6')*	aminoglycoside 6'-N-acetyltransferase	NG_052195.1	aac(6')	NA	1
aminoglycoside	aac(6')*	aminoglycoside 6'-N-acetyltransferase	NG_052196.1	aac(6')	NA	1
aminoglycoside	aac(6')*	aminoglycoside 6'-N-acetyltransferase	NG_052204.1	aacA	NA	1
aminoglycoside	aac(6')*	aminoglycoside 6'-N-acetyltransferase	NG_052209.1	aac(6')	NA	1
aminoglycoside	aac(6')*	aminoglycoside 6'-N-acetyltransferase	NG_052221.1	aac(6')	NA	1
aminoglycoside	aac(6')*	aminoglycoside 6'-N-acetyltransferase	NG_052254.1	aac(6')	NA	1
aminoglycoside	aac(6')*	aminoglycoside 6'-N-acetyltransferase	NG_052263.1	aac(6')	NA	1
aminoglycoside	aac(6')*	aminoglycoside 6'-N-acetyltransferase	NG_052284.1	aac(6')	NA	1
aminoglycoside	aac(6')*	aminoglycoside 6'-N-acetyltransferase	NG_052292.1	aac(6')	NA	1
aminoglycoside	aac(6')*	aminoglycoside 6'-N-acetyltransferase	NG_052297.1	aac(6')	NA	1
aminoglycoside	aac(6')*	aminoglycoside 6'-N-acetyltransferase	NG_052300.1	aac(6')	NA	1
aminoglycoside	aac(6')*	aminoglycoside 6'-N-acetyltransferase	NG_052301.1	aac(6')	NA	1
aminoglycoside	aac(6')*	aminoglycoside 6'-N-acetyltransferase	NG_052336.1	aac(6')	NA	1
aminoglycoside	aac(6')*	aminoglycoside 6'-N-acetyltransferase	NG_052341.1	aac(6')	NA	1
aminoglycoside	aac(6')*	aminoglycoside 6'-N-acetyltransferase	NG_052345.1	aac(6')	NA	1
aminoglycoside	aac(6')*	aminoglycoside 6'-N-acetyltransferase	NG_052346.1	aac(6')	NA	1
aminoglycoside	aac(6')*	aminoglycoside 6'-N-acetyltransferase	NG_052347.1	aac(6')	NA	1
aminoglycoside	aac(6')*	aminoglycoside 6'-N-acetyltransferase	NG_052389.1	aac(6')	NA	1
aminoglycoside	aac(6')*	aminoglycoside 6'-N-acetyltransferase	NG_052415.1	aac(6')	NA	1
aminoglycoside	aac(6')*	aminoglycoside 6'-N-acetyltransferase	NG_052419.1	aac(6')	NA	1
aminoglycoside	aac(6')*	aminoglycoside 6'-N-acetyltransferase	NG_052420.1	aac(6')	NA	1
aminoglycoside	aac(6')*	aminoglycoside 6'-N-acetyltransferase	NG_052423.1	aac(6')	NA	1
aminoglycoside	aac(6')*	aminoglycoside 6'-N-acetyltransferase	NG_052427.1	aac(6')	NA	1
aminoglycoside	aac(6')*	aminoglycoside 6'-N-acetyltransferase	NG_052428.1	aac(6')	NA	1
aminoglycoside	aac(6')*	aminoglycoside 6'-N-acetyltransferase	NG_052429.1	aac(6')	NA	1
aminoglycoside	aac(6')*	aminoglycoside 6'-N-acetyltransferase	NG_052445.1	aac(6')	NA	1
aminoglycoside	aac(6')*	aminoglycoside 6'-N-acetyltransferase	NG_052448.1	aac(6')	NA	1
aminoglycoside	aac(6')*	aminoglycoside 6'-N-acetyltransferase	NG_052449.1	aac(6')	NA	1
aminoglycoside	aac(6')*	aminoglycoside 6'-N-acetyltransferase	NG_052450.1	aac(6')	NA	1
aminoglycoside	aac(6')*	aminoglycoside 6'-N-acetyltransferase	NG_052451.1	aac(6')	NA	1
aminoglycoside	aac(6')*	aminoglycoside 6'-N-acetyltransferase	NG_052464.1	aac(6')	NA	1
aminoglycoside	aac(6')*	aminoglycoside 6'-N-acetyltransferase	NG_052466.1	aac(6')	NA	1
aminoglycoside	aac(6')*	aminoglycoside 6'-N-acetyltransferase	NG_052467.1	aac(6')	NA	1
aminoglycoside	aac(6')*	aminoglycoside 6'-N-acetyltransferase	NG_052468.1	aac(6')	NA	1
aminoglycoside	aac(6')*	aminoglycoside 6'-N-acetyltransferase	NG_052471.1	aac(6')	NA	1
aminoglycoside	aac(6')*	aminoglycoside 6'-N-acetyltransferase	NG_052472.1	aac(6')	NA	1
aminoglycoside	aac(6')*	aminoglycoside 6'-N-acetyltransferase	NG_052534.1	aac(6')	NA	1
aminoglycoside	aac(6')*	aminoglycoside 6'-N-acetyltransferase	NG_054689.1	aac(6')	NA	1
aminoglycoside	aac(6')*	aminoglycoside 6'-N-acetyltransferase	NG_054690.1	aac(6')	NA	1
aminoglycoside	aac(6')*	aminoglycoside 6'-N-acetyltransferase AAC(6')-29	NF000050.2	aac(6')-29	NA	27
aminoglycoside	aac(6')*	aminoglycoside 6'-N-acetyltransferase AAC(6')-29	NG_052220.1	aac(6')-29	NA	1
aminoglycoside	aac(6')*	aminoglycoside 6'-N-acetyltransferase AAC(6')-30	NF033077.0	aacA30	NA	3
aminoglycoside	aac(6')*	aminoglycoside 6'-N-acetyltransferase AAC(6')-35	NBR016120	aac(6')-35	NA	36
aminoglycoside	aac(6')*	aminoglycoside 6'-N-acetyltransferase AacA37	NF000152.2	aacA37	NA	1
aminoglycoside	aac(6')*	aminoglycoside N-acetyltransferase AAC(6')-31	NF000118.3	aac(6')-31	NA	7
aminoglycoside	aac(6')-I	AAC(6')-Ia family aminoglycoside 6'-N-acetyltransferase	NF033078.2	aac(6')	NA	10
aminoglycoside	aac(6')-I	AAC(6')-Ib family aminoglycoside 6'-N-acetyltransferase	NF033074.0	aac(6')-Ib	NA	140
aminoglycoside	aac(6')-I	AAC(6')-Ighjkrstuvwx family aminoglycoside N-acetyltransferase	NF000224.3	aac(6')-I	NA	57
aminoglycoside	aac(6')-I	AacA48 family aminoglycoside 6'-N-acetyltransferase	NF033130.1	NA	NA	2
aminoglycoside	aac(6')-I	aminoglycoside N-acetyltransferase AAC(6')-Iak	NF000497.1	aac(6')-Iak	NA	6
aminoglycoside	aac(6')-I	aminoglycoside N-acetyltransferase AAC(6')-Ian	NF000431.1	aac(6')-Ian	NA	8
aminoglycoside	aac(6')-I	aminoglycoside N-acetyltransferase AAC(6')-If	NF000110.2	aac(6')-If	NA	6
aminoglycoside	aac(6')-I	aminoglycoside N-acetyltransferase AAC(6')-Ii	NF000165.3	aac(6')	NA	121
aminoglycoside	aac(6')-I	aminoglycoside N-acetyltransferase AAC(6')-Il	NF000158.2	aac(6')-Il	NA	5
aminoglycoside	aac(6')-I	aminoglycoside N-acetyltransferase AAC(6')-Im	NF000016.1	aac(6')-Im	NA	5
aminoglycoside	aac(6')-I	aminoglycoside N-acetyltransferase AAC(6')-Iz	NF000138.1	aac(6')-Iz	NA	30
aminoglycoside	aac(6')-I	cryptic aminoglycoside N-acetyltransferase AAC(6')-Iy/Iaa	NF000140.3	aac(6')	NA	235
aminoglycoside	aac(6')-II	aminoglycoside N-acetyltransferase AAC(6')-IIc	NF000135.2	aac(6')-IIc	NA	7
aminoglycoside	aac(6')-III	tobramycin N-acetyltransferase AAC(6')-III	NF038102.1	aac(6')-III	NA	45
aminoglycoside	ant(2'')-I	aminoglycoside nucleotidyltransferase ANT(2'')-Ia	NF000064.3	aadB	NA	37
aminoglycoside	ant(3'')-I	ANT(3'')-I family aminoglycoside adenylyltransferase	NF045972.1	NA	NA	18
aminoglycoside	ant(3'')-I	ANT(3'')-I family aminoglycoside nucleotidyltransferase AadA33	NBR016731	aadA33	NA	9
aminoglycoside	ant(3'')-I	ANT(3'')-I family aminoglycoside nucleotidyltransferase AadA36	NBR016732	aadA36	NA	18
aminoglycoside	ant(3'')-I	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA1	NF033126.1	aadA1	NA	40
aminoglycoside	ant(3'')-I	AadA family aminoglycoside 3''-O-nucleotidyltransferase	NF012157.0	NA	NA	573
aminoglycoside	ant(3'')-I	aminoglycoside nucleotidyltransferase ANT(3'')-Ib	NBR012953	ant(3'')-Ib	NA	3
aminoglycoside	ant(3'')-II	ANT(3'')-II family aminoglycoside nucleotidyltransferase	NF033220.1	NA	NA	257
aminoglycoside	ant(4')-I	ANT(4')-I family aminoglycoside nucleotidyltransferase	NF033061.1	NA	NA	352
aminoglycoside	ant(4')-I	aminoglycoside O-nucleotidyltransferase ANT(4')-Ia	NF000181.1	aadD1	NA	92
aminoglycoside	ant(4')-I	aminoglycoside O-nucleotidyltransferase ANT(4')-Ia	NG_047375.1	aadD1	NA	1
aminoglycoside	ant(4')-I	aminoglycoside O-nucleotidyltransferase ANT(4')-Ia	NG_056101.1	aadD1	NA	1
aminoglycoside	ant(4')-I	aminoglycoside O-nucleotidyltransferase ANT(4')-Ib	NF000079.1	aadD2	NA	13
aminoglycoside	ant(4')-II	ANT(4')-II family aminoglycoside nucleotidyltransferase	NF028535.0	ant(4')	NA	5
aminoglycoside	ant(6)*	AadS family aminoglycoside 6-adenylyltransferase	NF033387.1	NA	NA	397
aminoglycoside	ant(6)*	aminoglycoside 6-adenylyltransferase	NF000274.2	ant(6)	NA	1
aminoglycoside	ant(6)*	aminoglycoside 6-adenylyltransferase	NF033084.2	ant(6)	NA	769
aminoglycoside	ant(6)*	aminoglycoside 6-adenylyltransferase AadK	NF000312.1	aadK	NA	137
aminoglycoside	ant(6)*	streptomycin adenylyltransferase Str	NF000062.1	str	NA	36
aminoglycoside	ant(6)-I	aminoglycoside nucleotidyltransferase ANT(6)-Ig	NF033221.1	ant(6)-Ig	NA	8
aminoglycoside	ant(9)*	aminoglycoside nucleotidyltransferase ANT(9)	NF012212.1	ant(9)	NA	263
aminoglycoside	ant(9)-I	aminoglycoside nucleotidyltransferase ANT(9)-Ic	NF045909.1	ant(9)-Ic	NA	39
aminoglycoside	aph(2'')*	APH(2'')-Ie/IVa family aminoglycoside O-phosphotransferase	NF000076.3	aph(2'')	NA	1
aminoglycoside	aph(2'')-I	APH(2'')-Ia/If/Ih family aminoglycoside O-phosphotransferase	NF033692.1	aph(2'')-I	NA	11
aminoglycoside	aph(2'')-I	APH(2'')-If/Ih family aminoglycoside O-phosphotransferase	NF000498.2	aph(2'')-I	NA	15
aminoglycoside	aph(2'')-I	aminoglycoside O-phosphotransferase APH(2'')-Ia	NF000508.1	aph(2'')-Ia	NA	155
aminoglycoside	aph(2'')-I	aminoglycoside O-phosphotransferase APH(2'')-Ig	NF000132.2	aph(2'')-Ig	NA	4
aminoglycoside	aph(2'')-II	aminoglycoside O-phosphotransferase APH(2'')-IIa	NF000015.3	aph(2'')-IIa	NA	8
aminoglycoside	aph(2'')-III	aminoglycoside O-phosphotransferase APH(2'')-IIIa	NF000044.2	aph(2'')-IIIa	NA	8
aminoglycoside	aph(3'')*	APH(3'') family aminoglycoside O-phosphotransferase	NF032896.1	NA	NA	1314
aminoglycoside	aph(3'')-I	aminoglycoside O-phosphotransferase APH(3'')-Ia	NF032894.1	aph(3'')-Ia	NA	13
aminoglycoside	aph(3'')-I	aminoglycoside O-phosphotransferase APH(3'')-Ib	NF032895.1	aph(3'')-Ib	NA	294
aminoglycoside	aph(3')*	APH(3') family aminoglycoside O-phosphotransferase	NF033068.1	NA	NA	1669
aminoglycoside	aph(3')-I	APH(3')-I family aminoglycoside O-phosphotransferase	NF033059.2	NA	NA	459
aminoglycoside	aph(3')-II	APH(3')-II family aminoglycoside O-phosphotransferase	NF032898.2	NA	NA	1336
aminoglycoside	aph(3')-II	aminoglycoside O-phosphotransferase APH(3')-IId	NBR014706	aph(3')-IId	NA	19
aminoglycoside	aph(3')-III	aminoglycoside O-phosphotransferase APH(3')-IIIa	NF033064.0	aph(3')-IIIa	NA	104
aminoglycoside	aph(3')-IV	aminoglycoside O-phosphotransferase APH(3')-IVa	NF033065.0	aph(3')-IVa	NA	16
aminoglycoside	aph(3')-V	APH(3')-V family aminoglycoside O-phosphotransferase	NF032897.1	NA	NA	29
aminoglycoside	aph(3')-VI	APH(3')-VI family aminoglycoside O-phosphotransferase	NF033062.0	NA	NA	83
aminoglycoside	aph(3')-VII	aminoglycoside O-phosphotransferase APH(3')-VIIa	NF033067.1	aph(3')-VIIa	NA	2
aminoglycoside	aph(3')-VIII	aminoglycoside O-phosphotransferase APH(3')-VIIIa	NF033066.0	aph(3')-VIIIa	NA	12
aminoglycoside	aph(3')-XV	aminoglycoside O-phosphotransferase APH(3')-XV	NF033063.0	aph(3')-XV	NA	8
aminoglycoside	aph(4)-I	aminoglycoside O-phosphotransferase APH(4)-Ia	NF000107.2	aph(4)-Ia	NA	42
aminoglycoside	aph(6)*	APH(6) family putative aminoglycoside O-phosphotransferase	NF012160.0	NA	NA	341
aminoglycoside	aph(6)-I	APH(6)-I family aminoglycoside O-phosphotransferase	NF012171.0	NA	NA	446
aminoglycoside	aph(6)-I	APH(6)-I family aminoglycoside O-phosphotransferase	NF033614.1	NA	NA	35
aminoglycoside	aph(6)-I	aminoglycoside O-phosphotransferase APH(6)-Ic	NF000011.2	aph(6)-Ic	NA	21
aminoglycoside	aph(7'')-I	aminoglycoside O-phosphotransferase APH(7'')-Ia	NF000137.2	aph(7'')-Ia	NA	24
aminoglycoside	aph(9)-I	aminoglycoside O-phosphotransferase APH(9)-Ia	NF000052.4	aph(9)-Ia	NA	44
aminoglycoside	aph(9)-I	aminoglycoside O-phosphotransferase APH(9)-Ib	NF000029.2	aph(9)-Ib	NA	1
aminoglycoside	apmA	aminocyclitol acetyltransferase ApmA	NF000084.1	apmA	NA	1
aminoglycoside	armA	16S rRNA (guanine(1405)-N(7))-methyltransferase ArmA	NBR015259	armA	NA	36
aminoglycoside	eis	amikacin resistance N-acetyltransferase Eis2	NBR006238	eis2	NA	44
aminoglycoside	eis	enhanced intracellular survival protein Eis	NF002364.0	NA	PRK01346	130
aminoglycoside	eis	enhanced intracellular survival protein Eis	NF002368.0	NA	PRK01346	455
aminoglycoside	gar	gentamicin resistance ATP-binding protein Gar	NBR013258	gar	NA	1
aminoglycoside	kamB	16S rRNA (adenine(1408)-N(1))-methyltransferase KamB	NF000363.1	kamB	NA	36
aminoglycoside	npmA	16S rRNA (adenine(1408)-N(1))-methyltransferase NpmA	NF000030.1	npmA	NA	1
aminoglycoside	rmt*	Rmt family 16S rRNA (guanine(1405)-N(7))-methyltransferase	NF000466.2	NA	NA	34
aminoglycoside	rmtB	RmtB family 16S rRNA (guanine(1405)-N(7))-methyltransferase	NF033209.1	NA	NA	10
aminoglycoside	rmtC	RmtC family 16S rRNA (guanine(1405)-N(7))-methyltransferase	NF000150.1	NA	NA	3
aminoglycoside	rmtD	RmtD family 16S rRNA (guanine(1405)-N(7))-methyltransferase	NF000007.1	NA	NA	2
aminoglycoside	rmtE	RmtE family 16S rRNA (guanine(1405)-N(7))-methyltransferase	NF000069.1	NA	NA	3
aminoglycoside	rmtF	RmtF family 16S rRNA (guanine(1405)-N(7))-methyltransferase	NF000113.1	NA	NA	13
aminoglycoside	rmtG	RmtG family 16S rRNA (guanine(1405)-N(7))-methyltransferase	NF000114.1	NA	NA	1
avilamycin	emtA	EmtA family 23S rRNA (guanine(2470)) methyltransferase	NF033398.1	NA	NA	20
bacitracin	bacA	bacitracin resistance undecaprenyl-diphosphatase	NBR007033	uppP	NA	132
bacitracin	bacA	undecaprenyl-diphosphatase UppP	TIGR00753.1	uppP	NA	1167
bacitracin	bacA	undecaprenyl-diphosphate phosphatase	NF001388.0	bacA	PRK00281	2875
bacitracin	bacA	undecaprenyl-diphosphate phosphatase	NF001389.0	NA	PRK00281	14357
bacitracin	bacA	undecaprenyl-diphosphate phosphatase	NF001390.0	NA	PRK00281	9139
bacitracin	bacA	undecaprenyl-diphosphate phosphatase	NF001391.0	NA	PRK00281	5674
bacitracin	bacA	undecaprenyl-diphosphate phosphatase	NF001392.0	NA	PRK00281	16234
bacitracin	bacA	undecaprenyl-diphosphate phosphatase	NF001393.0	NA	PRK00281	5596
bacitracin	bacA	undecaprenyl-diphosphate phosphatase	NF001394.0	NA	PRK00281	1766
bacitracin	bacA	undecaprenyl-diphosphate phosphatase	NF001395.0	NA	PRK00281	1240
bacitracin	bacA	undecaprenyl-diphosphate phosphatase	NF001396.0	NA	PRK00281	90
bacitracin	bacA	undecaprenyl-diphosphate phosphatase	NF001397.0	NA	PRK00281	478
bacitracin	bacA	undecaprenyl-diphosphate phosphatase	NF001398.0	NA	PRK00281	58
bacitracin	bacA	undecaprenyl-diphosphate phosphatase	NF008813.0	ybjG	PRK11837	2827
bacitracin	bacA	undecaprenyl-diphosphate phosphatase UppP	NBR007282	uppP	NA	229
bacitracin	bahA	bacitracin amidohydrolase BahA	NBR007700	bahA	NA	39
bacitracin	bceA	bacitracin ABC transporter ATP-binding protein BceA	NBR009268	bceA	NA	82
bacitracin	bceB	bacitracin ABC transporter permease BceB	NBR009270	bceB	NA	166
bacitracin	bcrA	bacitracin ABC transporter ATP-binding protein BcrA	NBR016205	bcrA	NA	63
bacitracin	bcrA	bacitracin resistance ABC transporter ATP-binding subunit BcrA	NBR006381	bcrA	NA	28
bacitracin	bcrB	bacitracin ABC transporter permease BcrB	NBR016206	bcrB	NA	5
bacitracin	bcrB	bacitracin resistance ABC transporter permease subunit BcrB	NBR006382	bcrB	NA	6
bacitracin	bcrC	bacitracin resistance undecaprenyl-diphosphatase BcrC	NBR006380	bcrC	NA	12
bacitracin	bcrC	undecaprenyl-diphosphate phosphatase BcrC	NBR013692	bcrC	NA	69
bacitracin	bcrD	bacitracin resistance undecaprenyl-diphosphatase BcrD	NBR016204	bcrD	NA	69
bacteriocin	psdA	lantibiotic ABC transporter ATP-binding protein PsdA	NBR010050	psdA	NA	88
bacteriocin	psdB	lantibiotic ABC transporter permease PsdB	NBR010051	psdB	NA	151
bacteriocin	vraD	peptide resistance ABC transporter ATP-binding subunit VraD	NBR008291	vraD	NA	170
bacteriocin	vraE	peptide resistance ABC transporter permease subunit VraE	NBR008292	vraE	NA	524
beta-lactam	bla*	BKC/GPC family carbapenem-hydrolyzing class A beta-lactamase	NF033626.2	bla	NA	41
beta-lactam	bla*	BlaB/IND/MUS family subclass B1 metallo-beta-lactamase	NF012146.1	bla	NA	217
beta-lactam	bla*	BlaZ-like penicillin-hydrolyzing class A beta-lactamase	NF033141.0	bla	NA	110
beta-lactam	bla*	CGA/CIA family class A beta-lactamase	NF000447.2	bla-A	NA	333
beta-lactam	bla*	CMY2-MIR-ACT-EC family cephalosporin-hydrolyzing class C beta-lactamase	NF041662.1	ampC	NA	146
beta-lactam	bla*	CMY2-MIR-ACT-EC family cephalosporin-hydrolyzing class C beta-lactamase	NF041666.1	ampC	NA	10
beta-lactam	bla*	CMY2/MIR/ACT/EC family class C beta-lactamase	NF012173.1	ampC	NA	246
beta-lactam	bla*	CdiA/SED family class A beta-lactamase	NF049858.1	bla	NA	2
beta-lactam	bla*	FOX/MOX family class C beta-lactamase	NF012172.1	ampC	NA	404
beta-lactam	bla*	MUS/TUS/MOC family subclass B1 metallo-beta-lactamase	NF012137.0	bla	NA	12
beta-lactam	bla*	PLA/ORN/TER family class A beta-lactamase	NF000275.2	bla	NA	11
beta-lactam	bla*	SFH-related subclass B2 metallo-beta-lactamase	NF012225.0	bla	NA	6
beta-lactam	bla*	carbapenem-hydrolyzing class A beta-lactamase	NF000538.0	bla	NA	7
beta-lactam	bla*	cephalosporin-hydrolyzing class C beta-lactamase	NF041663.1	ampC	NA	33
beta-lactam	bla*	class A beta-lactamase	NF012167.0	bla	NA	1973
beta-lactam	bla*	class A beta-lactamase	NF033103.1	bla	NA	23324
beta-lactam	bla*	class A beta-lactamase	NG_047483.1	bla	NA	1
beta-lactam	bla*	class A beta-lactamase	NG_047487.1	bla	NA	1
beta-lactam	bla*	class A beta-lactamase, subclass A2	NF012099.1	bla	NA	1640
beta-lactam	bla*	class A beta-lactamase, subclass A2	NG_047486.1	bla	NA	1
beta-lactam	bla*	class C beta-lactamase	NF033085.1	ampC	NA	8906
beta-lactam	bla*	class C beta-lactamase	NG_047492.1	ampC	NA	1
beta-lactam	bla*	class D beta-lactamase	NF000270.1	blaOXA	NA	2332
beta-lactam	bla*	class D beta-lactamase	NF000463.2	blaOXA	NA	41
beta-lactam	bla*	class D beta-lactamase	NF012161.0	blaOXA	NA	3881
beta-lactam	bla*	metallo-beta-lactamase	NF012229.1	bla	NA	31
beta-lactam	bla*	subclass B1 metallo-beta-lactamase	NF000450.2	bla-B1-FLAV	NA	223
beta-lactam	bla*	subclass B1 metallo-beta-lactamase	NF033088.2	bla	NA	2147
beta-lactam	bla*	subclass B1 metallo-beta-lactamase, long type	NF041269.1	bla	NA	20
beta-lactam	bla*	subclass B2 metallo-beta-lactamase	NF033087.1	bla	NA	34
beta-lactam	bla*	subclass B3 metallo-beta-lactamase	NF033105.1	bla	NA	3332
beta-lactam	bla1	class A beta-lactamase Bla1	NF033096.1	bla	NA	816
beta-lactam	bla2	BcII family subclass B1 metallo-beta-lactamase	NF033095.1	bla2	NA	524
beta-lactam	bla3	class A beta-lactamase BlaIII	NF041270.1	blaIII	NA	432
beta-lactam	blaA	class A beta-lactamase BlaA	NF033152.0	blaA	NA	42
beta-lactam	blaACA	ACA family class A beta-lactamase	NF047556.1	blaACA	NA	63
beta-lactam	blaACC	ACC family cephalosporin-hydrolyzing class C beta-lactamase	NF000397.2	blaACC	NA	8
beta-lactam	blaACI	ACI family class A beta-lactamase	NF000448.2	blaACI	NA	17
beta-lactam	blaACT	ACT family cephalosporin-hydrolyzing class C beta-lactamase	NF000385.4	blaACT	NA	604
beta-lactam	blaADC	ADC family extended-spectrum class C beta-lactamase	NF000425.2	blaADC	NA	622
beta-lactam	blaAFM	AFM family subclass B1 metallo-beta-lactamase	NF033736.2	blaAFM	NA	1
beta-lactam	blaAHM	AHM family subclass B3-like metallo-beta-lactamase	NF049846.1	blaAHM	NA	79
beta-lactam	blaAIM	AIM family subclass B3 metallo-beta-lactamase	NF000439.2	blaAIM	NA	11
beta-lactam	blaALI	ALI family subclass B1 metallo-beta-lactamase	NF033582.2	blaALI	NA	27
beta-lactam	blaAMZ	AMZ family class C beta-lactamase	NF041741.1	blaAMZ	NA	45
beta-lactam	blaAQU	AQU family class C beta-lactamase	NF033467.0	blaAQU	NA	48
beta-lactam	blaARL	ARL family class A beta-lactamase	NF033386.1	blaARL	NA	11
beta-lactam	blaASDC	ASDC family class C beta-lactamase	NF047361.1	blaASDC	NA	63
beta-lactam	blaAXC	AXC family carbapenem-hydrolyzing class A beta-lactamase	NF033929.1	blaAXC	NA	24
beta-lactam	blaB	BlaB family subclass B1 metallo-beta-lactamase	NF033107.1	blaB	NA	30
beta-lactam	blaBBI	BBI family class A beta-lactamase	NF033714.1	blaBBI	NA	43
beta-lactam	blaBCL	BCL family class A beta-lactamase	NF033060.0	blaBCL	NA	14
beta-lactam	blaBEL	BEL family extended-spectrum class A beta-lactamase	NF000398.2	blaBEL	NA	2
beta-lactam	blaBES	BES family class A beta-lactamase	NF000451.2	blaBES	NA	1
beta-lactam	blaBIC	BIC family carbapenem-hydrolyzing class A beta-lactamase	NF000449.2	blaBIC	NA	1
beta-lactam	blaBJP	BJP family subclass B3 metallo-beta-lactamase	NF012140.0	blaBJP	NA	242
